start_frame,end_frame,num_vehicles,scenario
1465,1515,53,Car Following
1466,1516,53,Car Following
1467,1517,53,Car Following
1468,1518,53,Car Following
1469,1519,53,Car Following
1470,1520,53,Car Following
1471,1521,51,Car Following
1472,1522,51,Car Following
1473,1523,52,Car Following
1474,1524,51,Car Following
1475,1525,50,Car Following
1476,1526,49,Car Following
1477,1527,49,Car Following
1478,1528,49,Car Following
1479,1529,50,Car Following
1480,1530,50,Car Following
1481,1531,50,Car Following
1482,1532,50,Car Following
1483,1533,50,Car Following
1484,1534,50,Car Following
1485,1535,51,Car Following
1486,1536,51,Car Following
1487,1537,51,Car Following
1488,1538,50,Car Following
1489,1539,50,Car Following
1490,1540,50,Car Following
1491,1541,50,Car Following
1492,1542,50,Car Following
1493,1543,49,Car Following
1494,1544,49,Car Following
1495,1545,49,Car Following
1496,1546,49,Car Following
1497,1547,49,Car Following
1498,1548,48,Car Following
1499,1549,48,Car Following
1500,1550,48,Car Following
1501,1551,48,Car Following
1502,1552,48,Car Following
1503,1553,49,Car Following
1504,1554,48,Car Following
1505,1555,49,Car Following
1506,1556,49,Car Following
1507,1557,50,Car Following
1508,1558,50,Car Following
1509,1559,51,Car Following
1510,1560,51,Car Following
1511,1561,52,Car Following
1512,1562,52,Car Following
1513,1563,52,Car Following
1514,1564,52,Car Following
1515,1565,52,Car Following
1516,1566,52,Car Following
1517,1567,51,Car Following
1518,1568,51,Car Following
1519,1569,50,Cut-In
1520,1570,50,Cut-In
1521,1571,50,Cut-In
1522,1572,50,Cut-In
1523,1573,50,Cut-In
1524,1574,51,Cut-In
1525,1575,51,Cut-In
1526,1576,51,Cut-In
1527,1577,51,Cut-In
1528,1578,51,Cut-In
1529,1579,51,Cut-In
1530,1580,51,Cut-In
1531,1581,51,Cut-In
1532,1582,52,Cut-In
1533,1583,54,Cut-In
1534,1584,54,Cut-In
1535,1585,54,Cut-In
1536,1586,54,Cut-In
1537,1587,53,Cut-In
1538,1588,53,Cut-In
1539,1589,53,Cut-In
1540,1590,53,Cut-In
1541,1591,52,Cut-In
1542,1592,52,Cut-In
1543,1593,54,Cut-In
1544,1594,55,Cut-In
1545,1595,55,Cut-In
1546,1596,55,Cut-In
1547,1597,55,Cut-In
1548,1598,55,Cut-In
1549,1599,54,Cut-In
1550,1600,54,Cut-In
1551,1601,54,Cut-In
